,job_title_position,years_of_experience,company_type,job_type,company_size,company_name,used_technology,monthly_salary_usd,monthly_salary_egp,react,react native,typescript,redux,wordpress,js,angular,node,vue,nextjs,jquery,bootstrap
46,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,Not recommended ,Angular,0,24,0,0,0,0,0,0,1,0,0,0,0,0
47,Junior,0-1 year,Startup company,Onsite,1-50 employees,Digital Lines Development,React but in work i never used framework for now,80,2476,1,0,0,0,0,0,0,0,0,0,0,0
48,Mid Sernior,2 to 3 years,Corporate company,Hybrid,201+ employees,VOIS,Angular,736,22779,0,0,0,0,0,0,1,0,0,0,0,0
49,Mid Sernior,3 to 5 years,Startup company,Hybrid,1-50 employees,,"React, vue, next",800,24760,1,0,0,0,0,0,0,0,1,0,0,0
50,Mid Sernior,3 to 5 years,Corporate company,Hybrid,201+ employees,,"Angular, react",640,19808,1,0,0,0,0,0,1,0,0,0,0,0
51,Internship,0-1 year,Corporate company,Remote,51-200 employees,Arcom,Angular,202,6267,0,0,0,0,0,0,1,0,0,0,0,0
52,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,React,224,6932,1,0,0,0,0,0,0,0,0,0,0,0
53,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,Na,Angular ,224,6932,0,0,0,0,0,0,1,0,0,0,0,0
54,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,,Angular ,224,6932,0,0,0,0,0,0,1,0,0,0,0,0
55,Junior,1 to 2 years,Corporate company,Remote,1-50 employees,CryptDev ,React,256,7923,1,0,0,0,0,0,0,0,0,0,0,0
56,Senior,3 to 5 years,Corporate company,Remote,201+ employees,VOIS,"React, React Native",1120,34664,1,1,0,0,0,0,0,0,0,0,0,0
57,Junior,0-1 year,Startup company,Onsite,1-50 employees,Astra Tech ,Angular | Vue,224,6932,0,0,0,0,0,0,1,0,1,0,0,0
58,Junior,0-1 year,Corporate company,Remote,1-50 employees,,Vue js ,160,4952,0,0,0,0,0,1,0,0,1,0,0,0
59,Junior,1 to 2 years,Startup company,Remote,51-200 employees,,Angular,446,13803,0,0,0,0,0,0,1,0,0,0,0,0
60,Senior,3 to 5 years,Out Source company,Remote,1-50 employees,Crocosoft,React,1440,44568,1,0,0,0,0,0,0,0,0,0,0,0
61,Junior,0-1 year,Tech company ,Hybrid,1-50 employees,Smart Link,React,144,4456,1,0,0,0,0,0,0,0,0,0,0,0
62,Tech / Team Lead,+7 years,Startup company,Hybrid,1-50 employees,,React,4000,123800,1,0,0,0,0,0,0,0,0,0,0,0
63,Tech / Team Lead,+7 years,Corporate company,Hybrid,201+ employees,,React,2400,74280,1,0,0,0,0,0,0,0,0,0,0,0
64,Tech / Team Lead,5 to 7 years,Startup company,Remote,51-200 employees,Private,"React, React Native, Redux, Vite, Node, AWS, Docker, Github",896,27731,1,1,0,1,0,0,0,1,0,0,0,0
65,Mid Sernior,3 to 5 years,Corporate company,Hybrid,51-200 employees,SafaSoft,React,416,12875,1,0,0,0,0,0,0,0,0,0,0,0
66,Senior,5 to 7 years,Startup company,Remote,51-200 employees,,Angular,48000,1485600,0,0,0,0,0,0,1,0,0,0,0,0
67,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,"Angular, react",608,18817,1,0,0,0,0,0,1,0,0,0,0,0
68,Junior,0-1 year,Startup company,Onsite,1-50 employees,SBtec,React,256,7923,1,0,0,0,0,0,0,0,0,0,0,0
69,Senior,3 to 5 years,Startup company,Remote,1-50 employees,- ,React - NextJs,1819,56324,1,0,0,0,0,1,0,0,0,1,0,0
71,Mid Sernior,2 to 3 years,Out Source company,Remote,1-50 employees,,,480,14856,0,0,0,0,0,0,0,0,0,0,0,0
72,Junior,0-1 year,Out Source company,Hybrid,201+ employees,Digital Innovation Lab ,React ,400,12380,1,0,0,0,0,0,0,0,0,0,0,0
73,Mid Sernior,3 to 5 years,Startup company,Hybrid,1-50 employees,Efreshli,React,768,23769,1,0,0,0,0,0,0,0,0,0,0,0
74,Senior,3 to 5 years,Startup company,Remote,1-50 employees,Techytypes,React,640,19808,1,0,0,0,0,0,0,0,0,0,0,0
75,Junior,0-1 year,Startup company,Hybrid,1-50 employees,,React,320,9904,1,0,0,0,0,0,0,0,0,0,0,0
76,Junior,0-1 year,Corporate company,Hybrid,201+ employees,,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
77,Junior,1 to 2 years,Corporate company,Onsite,51-200 employees,Itworx education,Angular,400,12380,0,0,0,0,0,0,1,0,0,0,0,0
78,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,,React,384,11884,1,0,0,0,0,0,0,0,0,0,0,0
80,Senior,3 to 5 years,Startup company,Onsite,1-50 employees,,React ,800,24760,1,0,0,0,0,0,0,0,0,0,0,0
